Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Arrecadacao_Total,Ganhadores_Sena,Cidade,UF,Rateio_Sena,Ganhadores_Quina,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Acumulado,Valor_Acumulado,Estimativa_Prêmio,Acumulado_Mega_da_Virada
1,11/03/1996,41,5,4,52,30,33,0.0,0,&nbsp,&nbsp,0.0,17,39158.92,2016,330.21,SIM,1714650.23,0.0,0.0
2,18/03/1996,9,39,37,49,43,41,0.0,1,,PR,2307162.23,65,14424.02,4488,208.91,NÃO,0.0,0.0,0.0
3,25/03/1996,36,30,10,11,29,47,0.0,2,,RN,391192.51,62,10515.93,4261,153.01,NÃO,0.0,0.0,0.0
3,25/03/1996,36,30,10,11,29,47,0.0,2,,SP,391192.51,62,10515.93,4261,153.01,NÃO,0.0,0.0,0.0
4,01/04/1996,6,59,42,27,1,5,0.0,0,&nbsp,&nbsp,0.0,39,15322.24,3311,180.48,SIM,717080.75,0.0,0.0
5,08/04/1996,1,19,46,6,16,2,0.0,0,&nbsp,&nbsp,0.0,98,5318.1,5399,96.53,SIM,1342488.85,0.0,0.0
6,15/04/1996,19,40,7,13,22,47,0.0,0,&nbsp,&nbsp,0.0,109,7214.66,7147,110.03,SIM,2286166.33,0.0,0.0
7,22/04/1996,56,38,21,20,3,5,0.0,0,&nbsp,&nbsp,0.0,100,8746.05,5736,152.48,SIM,3335692.28,0.0,0.0
8,29/04/1996,53,17,38,4,47,37,0.0,0,&nbsp,&nbsp,0.0,60,16084.11,5262,183.4,SIM,4493748.19,0.0,0.0
9,06/05/1996,55,43,56,54,8,60,0.0,0,&nbsp,&nbsp,0.0,17,60043.79,2175,469.31,SIM,5718641.49,0.0,0.0
10,13/05/1996,25,4,18,57,21,38,0.0,0,&nbsp,&nbsp,0.0,251,6638.45,12590,132.35,SIM,13334769.81,0.0,0.0
11,20/05/1996,25,15,58,37,59,38,0.0,1,,RJ,15591365.07,148,12706.05,9442,199.16,NÃO,0.0,0.0,0.0
12,27/05/1996,20,27,43,16,19,4,0.0,0,&nbsp,&nbsp,0.0,108,6791.17,6454,113.64,SIM,880136.24,0.0,0.0
13,03/06/1996,47,32,50,54,18,56,0.0,0,&nbsp,&nbsp,0.0,43,20543.98,2934,301.09,SIM,1940205.35,0.0,0.0
14,10/06/1996,16,2,27,47,23,53,0.0,0,&nbsp,&nbsp,0.0,85,10458.19,5323,167.0,SIM,3006941.32,0.0,0.0
15,17/06/1996,60,12,33,52,35,51,0.0,0,&nbsp,&nbsp,0.0,57,17919.89,3931,259.84,SIM,4232661.35,0.0,0.0
16,24/06/1996,60,58,49,32,20,34,0.0,0,&nbsp,&nbsp,0.0,31,33307.13,3250,317.7,SIM,5471686.62,0.0,0.0
17,01/07/1996,10,20,6,19,51,13,0.0,1,,SP,6789869.08,144,7628.37,9376,117.16,NÃO,0.0,0.0,0.0
18,08/07/1996,37,36,56,27,42,23,0.0,0,&nbsp,&nbsp,0.0,52,13763.52,4484,159.61,SIM,858843.48,0.0,0.0
19,15/07/1996,5,25,12,10,60,24,0.0,0,&nbsp,&nbsp,0.0,159,5380.14,9250,92.48,SIM,10506266.73,0.0,0.0
20,22/07/1996,25,28,30,33,51,11,0.0,0,&nbsp,&nbsp,0.0,72,15486.97,5728,194.67,SIM,11844340.83,0.0,0.0
21,29/07/1996,49,46,6,53,33,36,0.0,0,&nbsp,&nbsp,0.0,63,17694.19,5030,221.62,SIM,13182021.44,0.0,0.0
22,05/08/1996,9,38,56,1,31,46,0.0,0,&nbsp,&nbsp,0.0,47,27212.9,4865,262.9,SIM,14716828.84,0.0,0.0
23,12/08/1996,17,52,51,59,39,37,0.0,0,&nbsp,&nbsp,0.0,74,20198.46,4897,305.23,SIM,16510452.0,0.0,0.0
24,19/08/1996,1,8,14,28,33,43,0.0,1,&nbsp,&nbsp,18661679.61,227,7897.31,13486,132.93,NÃO,0.0,0.0,0.0
25,25/08/1996,56,50,55,54,24,43,0.0,0,&nbsp,&nbsp,0.0,28,26338.5,2741,269.06,SIM,884973.5,0.0,0.0
26,01/09/1996,50,53,57,10,58,22,0.0,0,&nbsp,&nbsp,0.0,16,52473.74,1823,460.55,SIM,1892469.3,0.0,0.0
27,08/09/1996,44,33,13,51,17,20,0.0,0,&nbsp,&nbsp,0.0,99,9306.24,6466,142.49,SIM,2998050.68,0.0,0.0
28,15/09/1996,60,6,22,3,24,54,0.0,0,&nbsp,&nbsp,0.0,50,19749.22,4895,201.73,SIM,4183003.48,0.0,0.0
29,22/09/1996,14,56,58,8,43,3,0.0,1,,RS,5401793.6,44,23083.15,5248,193.53,NÃO,0.0,0.0,0.0
30,29/09/1996,38,50,7,29,15,14,0.0,0,&nbsp,&nbsp,0.0,80,11347.74,5885,154.26,SIM,10127520.8,0.0,0.0
31,06/10/1996,56,19,28,48,17,45,0.0,0,&nbsp,&nbsp,0.0,103,8793.04,5680,159.45,SIM,11214340.46,0.0,0.0
32,13/10/1996,43,33,14,36,5,44,0.0,0,&nbsp,&nbsp,0.0,96,11430.91,6876,159.6,SIM,12531181.83,0.0,0.0
33,20/10/1996,5,33,49,17,42,39,0.0,1,,MG,13997410.74,128,9545.76,8722,140.09,NÃO,0.0,0.0,0.0
34,27/10/1996,15,13,57,53,40,17,0.0,0,&nbsp,&nbsp,0.0,51,13604.06,2627,264.11,SIM,832568.2,0.0,0.0
35,03/11/1996,21,57,16,23,54,4,0.0,0,&nbsp,&nbsp,0.0,39,20051.18,3576,218.68,SIM,1770963.49,0.0,0.0
36,10/11/1996,13,3,51,17,29,25,0.0,0,&nbsp,&nbsp,0.0,143,6238.12,8548,104.36,SIM,2841425.78,0.0,0.0
37,17/11/1996,22,6,7,52,38,60,0.0,0,&nbsp,&nbsp,0.0,47,16848.61,3695,214.32,SIM,3791687.26,0.0,0.0
38,24/11/1996,55,42,10,43,45,54,0.0,0,&nbsp,&nbsp,0.0,24,38863.1,1999,466.59,SIM,4910944.53,0.0,0.0
39,01/12/1996,16,37,45,52,56,12,0.0,0,&nbsp,&nbsp,0.0,73,13459.05,4444,221.09,SIM,13456111.33,0.0,0.0
40,08/12/1996,3,12,46,5,47,8,0.0,0,&nbsp,&nbsp,0.0,189,7789.93,12117,121.51,SIM,15222867.04,0.0,0.0
41,15/12/1996,38,26,35,39,12,47,0.0,1,,BA,17019238.5,148,10114.7,10182,147.03,NÃO,0.0,0.0,0.0
42,22/12/1996,24,36,19,33,7,11,0.0,0,&nbsp,&nbsp,0.0,201,3684.64,9580,77.31,SIM,888735.02,0.0,0.0
43,29/12/1996,2,58,25,6,26,17,0.0,0,&nbsp,&nbsp,0.0,75,9738.03,5070,144.06,SIM,1765157.22,0.0,0.0
44,05/01/1997,47,38,18,14,29,44,0.0,0,&nbsp,&nbsp,0.0,103,7099.32,7742,94.45,SIM,2642633.14,0.0,0.0
45,12/01/1997,30,7,37,55,44,53,0.0,0,&nbsp,&nbsp,0.0,33,27201.47,3004,298.82,SIM,3719811.46,0.0,0.0
46,19/01/1997,32,46,1,60,24,23,0.0,0,&nbsp,&nbsp,0.0,91,9982.42,6263,145.04,SIM,4809891.56,0.0,0.0
