Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Arrecadacao_Total,Ganhadores_Sena,Cidade,UF,Rateio_Sena,Ganhadores_Quina,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Acumulado,Valor_Acumulado,Estimativa_Prêmio,Acumulado_Mega_da_Virada
1,11/03/1996,41,5,4,52,30,33,000,0,&nbsp,&nbsp,000,17,39.15892,2016,33021.0,SIM,1.714.65023,000,000
2,18/03/1996,9,39,37,49,43,41,000,1,,PR,2.307.16223,65,14.42402,4488,20891.0,NÃO,000,000,000
3,25/03/1996,36,30,10,11,29,47,000,2,,RN,391.19251,62,10.51593,4261,15301.0,NÃO,000,000,000
3,25/03/1996,36,30,10,11,29,47,000,2,,SP,391.19251,62,10.51593,4261,15301.0,NÃO,000,000,000
4,01/04/1996,6,59,42,27,1,5,000,0,&nbsp,&nbsp,000,39,15.322239999999999,3311,18048.0,SIM,717.08075,000,000
5,08/04/1996,1,19,46,6,16,2,000,0,&nbsp,&nbsp,000,98,5.3181,5399,9653.0,SIM,1.342.48885,000,000
6,15/04/1996,19,40,7,13,22,47,000,0,&nbsp,&nbsp,000,109,7.21466,7147,11003.0,SIM,2.286.16633,000,000
7,22/04/1996,56,38,21,20,3,5,000,0,&nbsp,&nbsp,000,100,8.74605,5736,15248.0,SIM,3.335.69228,000,000
8,29/04/1996,53,17,38,4,47,37,000,0,&nbsp,&nbsp,000,60,16.08411,5262,18340.0,SIM,4.493.74819,000,000
9,06/05/1996,55,43,56,54,8,60,000,0,&nbsp,&nbsp,000,17,60.04379,2175,46931.0,SIM,5.718.64149,000,000
10,13/05/1996,25,4,18,57,21,38,000,0,&nbsp,&nbsp,000,251,6.63845,12590,13235.0,SIM,13.334.76981,000,000
11,20/05/1996,25,15,58,37,59,38,000,1,,RJ,15.591.36507,148,12.70605,9442,19916.0,NÃO,000,000,000
